runNo efftx1c1 effty1c1 effp3s1 effp3c1 effp2s1 effp2c1 effty2c1 efftx2c1 efftx1c2 effty1c2 effp3s2 effp3c2 effp2s2 effp2c2 effty2c2 efftx2c2 grade status/C HVTXY1 HVTXY2 HVP3 HVP2 THRTXY1 THRTXY2 THRP3 THRP2
176 0.9985 0.9941 0.0025 0.0163 0.0009 0.0281 0.8800 0.9909 1.0000 1.0000 0.0027 0.0160 0.0008 0.0283 1.0000 1.0000 9 test_run 1750 1750 1900 1900 3750 3750 3740 3740
177 0.9986 0.9948 0.0145 0.0226 0.0013 0.0352 0.9064 0.9914 1.0000 1.0000 0.0145 0.0228 0.0013 0.0357 1.0000 1.0000 9 test_run 1750 1750 1900 1900 3750 3750 3750 3750
178 0.9983 0.9945 0.0556 0.0327 0.0044 0.0439 0.9192 0.9911 1.0000 1.0000 0.0575 0.0327 0.0045 0.0444 1.0000 1.0000 9 test_run 1750 1750 1900 1900 3750 3750 3760 3760
179 0.9985 0.9951 0.0431 0.8041 0.0246 0.8123 0.9267 0.9911 1.0000 1.0000 0.0426 0.8020 0.0243 0.8102 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3740 3740
180 0.9989 0.9951 0.0956 0.8233 0.0390 0.8221 0.9344 0.9924 1.0000 1.0000 0.0963 0.8210 0.0387 0.8196 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3750 3750
181 0.9985 0.9949 0.1927 0.8385 0.0606 0.8297 0.9381 0.9913 1.0000 1.0000 0.1925 0.8382 0.0603 0.8289 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3760 3760
182 0.9985 0.9949 0.4259 0.8567 0.1014 0.8378 0.9406 0.9914 1.0000 1.0000 0.4266 0.8572 0.1016 0.8376 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3770 3770
183 0.9984 0.9952 0.9502 0.9015 0.2061 0.8498 0.9455 0.9918 1.0000 1.0000 0.9501 0.9025 0.2065 0.8501 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3780 3780
184 0.9986 0.9951 0.9608 0.9569 0.8441 0.9610 0.9543 0.9917 1.0000 1.0000 0.9602 0.9578 0.8430 0.9625 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3740 3740
185 0.9986 0.9948 0.9900 0.9727 0.9143 0.9748 0.9575 0.9920 1.0000 1.0000 0.9899 0.9734 0.9138 0.9761 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3750 3750
186 0.9986 0.9957 0.9987 0.9872 0.9671 0.9876 0.9598 0.9920 1.0000 1.0000 0.9988 0.9875 0.9668 0.9884 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3760 3760
187 0.9986 0.9953 0.9999 0.9951 0.9867 0.9929 0.9593 0.9920 1.0000 1.0000 0.9999 0.9952 0.9865 0.9934 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3770 3770
188 0.9986 0.9954 0.9999 0.9995 0.9974 0.9977 0.9592 0.9919 1.0000 1.0000 0.9999 0.9995 0.9975 0.9980 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3780 3780
189 0.9987 0.9956 0.9892 0.9727 0.9164 0.9752 0.9656 0.9927 1.0000 1.0000 0.9891 0.9733 0.9162 0.9764 1.0000 1.0000 2 beam_on 1750 1750 2600 2600 3750 3750 3750 3750
190 0.9999 0.9998 0.9896 0.9730 0.9186 0.9752 0.9984 0.9994 1.0000 1.0000 0.9896 0.9732 0.9188 0.9754 1.0000 1.0000 9 test_run 1900 1900 2600 2600 3750 3750 3750 3750
191 0.9999 0.9998 0.9881 0.9719 0.9138 0.9751 0.9985 0.9994 1.0000 1.0000 0.9881 0.9720 0.9139 0.9753 1.0000 1.0000 9 test_run 1900 1900 2600 2600 3760 3760 3750 3750
192 0.9997 0.9994 0.9880 0.9720 0.9122 0.9738 0.9968 0.9991 1.0000 1.0000 0.9880 0.9722 0.9123 0.9740 1.0000 1.0000 9 test_run 1850 1850 2600 2600 3750 3750 3750 3750
193 0.9998 0.9995 0.0922 0.8204 0.0378 0.8201 0.9970 0.9992 1.0000 1.0000 0.0922 0.8211 0.0377 0.8208 1.0000 1.0000 2 beam_on 1850 1850 2300 2300 3750 3750 3750 3750
194 0.9998 0.9995 0.0237 0.3239 0.0037 0.5171 0.9971 0.9992 1.0000 1.0000 0.0237 0.3243 0.0037 0.5176 1.0000 1.0000 2 beam_on 1850 1850 2100 2100 3750 3750 3750 3750
195 0.0002 0.0001 0.0007 0.0000 0.0001 0.0000 0.1766 0.0000 -1 -1 -1 -1 -1 -1 -1 -1                                 5 noise_check 1850 1850 2100 2100 3750 3750 3750 3750
196 0.0001 0.0001 0.0013 0.0001 0.0001 0.0000 0.0000 0.0001 -1 -1 -1 -1 -1 -1 -1 -1                                 5 noise_check 1850 1850 2100 2100 3750 3750 3750 3750
197 0.0001 0.0000 0.0017 0.0001 0.0002 0.0000 0.0023 0.0000 -1 -1 -1 -1 -1 -1 -1 -1                                 5 noise_check 1850 1850 2100 2100 3750 3750 3750 3750
198 0.9999 0.9999 0.0124 0.6239 0.0051 0.6561 0.9967 0.9990 1.0000 1.0000 0.0124 0.6245 0.0051 0.6567 1.0000 1.0000 9 check_efficiency 1850 1850 2100 2100 3750 3750 3750 3750
199 0.9999 0.9997 0.0119 0.6184 0.0050 0.6529 0.9969 0.9991 1.0000 1.0000 0.0119 0.6191 0.0050 0.6534 1.0000 1.0000 9 check_efficiency 1850 1850 2100 2100 3750 3750 3750 3750
